,Unnamed: 0,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,Ligand,Pose
564,564,-407.993,3.0,3.0,497.32,226.71,272.435,0.501,85.281,-14.261,0.0,-790.207,153.877,-247.803,1.424,18.04,32.429,87.475,479.605,-33.364,-51.319,-25.656,-26.136,-16.551,12.58,-24.438,0.259,-6.733,26.759,387.937,107.456,280.481,1.348,0.417,S6I2,8
565,565,-412.119,5.0,3.0,529.081,193.536,336.61,0.407,78.354,-15.132,0.0,-785.526,152.91,-250.864,1.397,17.304,31.279,84.886,478.36,-32.231,-50.167,-28.049,-25.906,-13.501,12.402,-25.103,0.317,-9.877,26.759,412.223,113.939,298.284,3.027,0.464,S6I2,8
566,566,-412.631,4.0,3.0,580.455,235.772,346.508,0.546,97.105,-16.348,0.0,-793.007,153.884,-250.333,1.397,17.336,32.187,86.041,486.563,-33.208,-51.133,-29.491,-25.97,-14.149,11.925,-25.101,0.282,-8.382,26.759,338.372,112.299,226.073,1.39,0.379,S6I2,8
567,567,-398.419,4.0,5.0,501.853,201.181,302.192,0.553,85.654,-16.522,0.0,-798.569,152.379,-243.332,1.412,17.573,31.36,95.68,481.005,-33.656,-50.133,-27.425,-26.197,-15.041,12.746,-24.453,0.384,-7.351,26.759,413.586,84.244,329.342,8.018,0.422,S6I2,8
568,568,-415.549,4.0,3.0,586.761,217.422,370.556,0.47,88.196,-17.671,0.0,-789.342,150.317,-250.591,1.402,17.601,31.261,84.35,481.003,-33.741,-50.144,-25.267,-25.594,-14.778,11.086,-25.394,0.323,-9.061,26.759,379.949,101.925,278.024,3.846,0.414,S6I2,8
569,569,-381.16,4.0,4.0,411.023,170.136,241.951,0.653,74.757,-14.798,0.0,-794.553,156.586,-245.533,1.388,16.971,30.368,108.251,482.396,-31.355,-49.859,-29.121,-26.575,-13.94,13.669,-24.81,0.295,-10.414,26.759,448.322,121.344,326.979,8.028,0.288,S6I2,8
570,570,-419.229,8.0,4.0,605.422,250.076,356.411,0.526,88.796,-16.123,0.0,-793.326,150.637,-247.978,1.384,16.351,31.863,82.566,480.118,-32.836,-51.418,-24.845,-26.441,-14.369,12.31,-25.054,0.306,-8.089,26.759,375.738,94.052,281.685,2.523,0.311,S6I2,8
571,571,-400.911,6.0,3.0,587.179,239.454,348.941,0.547,98.667,-11.182,0.0,-793.509,150.822,-235.397,1.432,18.379,32.871,88.232,479.863,-28.434,-50.707,-24.935,-25.909,-17.95,11.376,-25.42,0.324,-10.653,26.759,350.4,99.793,250.608,1.526,0.421,S6I2,8
572,572,-418.559,8.0,4.0,561.865,235.037,328.5,0.578,89.283,-15.642,0.0,-794.187,156.793,-245.449,1.38,16.505,31.672,81.54,479.463,-33.249,-50.844,-27.217,-26.118,-15.472,12.41,-25.103,0.292,-10.106,26.759,383.549,102.869,280.68,2.144,0.229,S6I2,8
573,573,-418.222,4.0,4.0,577.722,229.107,350.135,0.396,86.032,-16.694,0.0,-783.727,153.779,-247.876,1.381,16.58,31.089,80.966,477.011,-33.661,-51.182,-29.482,-26.565,-14.866,11.231,-24.721,0.324,-9.161,26.759,383.672,98.204,285.468,3.639,0.26,S6I2,8
