,total_score,InterfaceRes,Interface_hbond_count,SASA,SASA_hydrophobic,SASA_polar,Sc,contact_surf,ddg,dslf_fa13,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_rep_xover4,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,omega,p_aa_pp,pro_close,rama_prepro,ref,sugar_SASA,sugar_SASA_hydrophobic,sugar_SASA_polar,sugar_bb,yhh_planarity,description,Ligand,Pose,Run
617,-410.372,5.0,3.0,505.911,203.218,302.693,0.775,103.687,-12.9,0.0,-789.346,151.815,-244.429,1.434,16.839,33.963,83.357,479.86,-31.014,-50.233,-28.838,-26.537,-14.961,13.027,-25.442,0.302,-7.432,26.759,370.888,131.916,239.884,0.193,0.312,rel_I2S3_out_4_5_complex_0004,I2S3,5,0004
618,-414.568,6.0,3.0,511.318,187.995,323.323,0.776,102.458,-12.876,0.0,-791.316,153.287,-244.286,1.428,16.481,34.228,80.058,482.884,-32.906,-50.918,-28.36,-26.795,-15.151,12.437,-25.181,0.309,-7.867,26.759,377.741,149.84,228.813,0.181,0.16,rel_I2S3_out_4_5_complex_0005,I2S3,5,0005
619,-413.873,6.0,3.0,500.931,192.273,308.658,0.77,102.471,-12.88,0.0,-789.281,151.874,-243.206,1.427,16.462,34.395,79.555,481.676,-32.809,-51.134,-27.404,-26.847,-15.271,12.808,-25.372,0.319,-8.17,26.759,379.142,151.48,228.727,0.189,0.158,rel_I2S3_out_4_5_complex_0006,I2S3,5,0006
620,-415.255,6.0,3.0,515.595,199.019,316.576,0.777,102.743,-12.892,0.0,-787.516,154.747,-241.024,1.425,16.46,34.293,78.667,479.747,-33.065,-51.648,-29.186,-26.84,-15.752,12.322,-25.346,0.307,-9.987,26.759,375.753,147.529,229.136,0.184,0.197,rel_I2S3_out_4_5_complex_0007,I2S3,5,0007
621,-412.797,4.0,3.0,442.747,146.312,296.435,0.558,79.429,-12.042,0.0,-788.242,154.458,-245.859,1.42,16.353,34.134,80.963,479.663,-31.475,-50.931,-29.875,-26.891,-13.865,12.327,-24.862,0.302,-7.525,26.759,388.095,133.451,255.709,0.2,0.149,rel_I2S3_out_4_5_complex_0008,I2S3,5,0008
622,-413.284,6.0,4.0,511.709,185.505,326.205,0.778,102.304,-14.253,0.0,-791.303,150.244,-244.606,1.44,17.506,34.386,81.468,484.06,-34.925,-50.922,-26.838,-26.487,-14.425,12.592,-25.084,0.276,-8.012,26.759,389.069,146.191,243.943,0.182,0.406,rel_I2S3_out_4_5_complex_0009,I2S3,5,0009
623,-414.506,6.0,4.0,513.403,190.4,323.002,0.77,100.672,-13.578,0.0,-794.791,154.849,-246.458,1.429,16.375,34.841,82.395,482.535,-32.289,-50.498,-27.206,-26.722,-15.985,13.867,-25.457,0.3,-9.031,26.759,371.84,142.884,229.868,0.199,0.38,rel_I2S3_out_4_5_complex_0010,I2S3,5,0010
624,-412.337,5.0,1.0,516.513,229.641,287.936,0.646,94.989,-9.826,0.0,-792.616,152.214,-236.932,1.418,16.48,33.911,82.44,480.767,-31.317,-52.333,-29.836,-25.866,-15.841,11.046,-24.814,0.31,-8.493,26.759,387.452,114.356,273.096,0.205,0.161,rel_I2S3_out_4_7_complex_0001,I2S3,7,0001
625,-409.895,6.0,1.0,457.888,189.813,269.595,0.464,73.334,-12.135,0.0,-787.75,151.782,-236.84,1.421,16.306,34.515,79.822,477.977,-30.488,-51.957,-26.402,-25.751,-17.545,11.838,-25.84,0.257,-8.652,26.759,418.988,138.835,280.153,0.358,0.295,rel_I2S3_out_4_7_complex_0002,I2S3,7,0002
626,-405.199,5.0,1.0,521.476,231.038,290.59,0.664,98.158,-9.428,0.0,-787.57,153.819,-237.744,1.43,16.72,33.547,86.145,472.83,-27.386,-50.716,-29.062,-25.78,-15.615,12.045,-25.439,0.297,-9.983,26.759,382.629,110.436,272.193,0.219,0.286,rel_I2S3_out_4_7_complex_0003,I2S3,7,0003
627,-380.844,2.0,0.0,370.052,150.454,219.598,0.621,65.389,-10.499,0.0,-794.736,153.99,-243.019,1.434,17.214,35.075,105.065,484.222,-31.151,-49.776,-27.125,-25.885,-14.217,12.029,-25.449,0.265,-10.494,26.759,384.928,114.629,270.299,4.504,0.45,rel_I2S3_out_4_7_complex_0004,I2S3,7,0004
628,-411.132,5.0,2.0,471.862,191.216,281.558,0.553,84.764,-15.1,0.0,-788.589,156.07,-243.892,1.443,17.181,35.871,78.231,479.92,-33.461,-51.097,-24.353,-25.849,-16.845,10.688,-25.228,0.229,-8.888,26.759,415.378,148.415,266.963,0.293,0.386,rel_I2S3_out_4_7_complex_0005,I2S3,7,0005
